Country,Daily mean
CA,1694.81
CL,1375.9771428571428
GB,819.50375
IE,797.435
BR,794.0857142857143
US,732.0566666666667
NL,636.0913207547169
CH,612.9167123287671
BE,563.3761971830986
ES,560.3839705882353
DK,454.7
NO,435.27500000000003
IS,410.419
IT,359.786
SI,347.853
HR,305.97235294117644
PT,299.43848484848485
LU,290.27
FR,286.53650000000005
AT,240.0558415841584
AU,224.66
DE,202.30731481481482
HU,192.40666666666667
LV,175.92285714285714
EE,133.19
CZ,130.68695652173915
RO,125.21333333333332
LT,122.70639999999999
SE,110.1770588235294
SK,86.91789473684211
GR,83.41285714285713
NZ,81.31750000000001
PL,70.72571428571429
MT,68.45
CY,68.075
RS,60.806666666666665
BA,30.58
TR,27.406153846153845
H,24.61
FI,23.769811320754716
KR,0.0
