City,Daily mean
St. Gallen Hofen,1336.68
Zurich,1086.39
Geneva,1076.86
Zurich,1055.01
Zurich,1022.61
Luzern,948.65
Zurich,934.42
Zurich,931.09
Geneva,917.84
St. Gallen Hofen,909.82
Lugano,895.98
Zurich,890.94
Zurich,874.36
Zurich,855.96
Basel,837.83
St. Gallen Hofen,821.69
Geneva,812.89
Geneva,794.84
Zurich,790.58
Geneva,769.69
Solothurn,762.68
Altenrhein,743.47
Berne,723.63
Zurich,722.53
Basel,716.63
St. Gallen Hofen,708.34
Basel,708.08
St. Gallen Hofen,691.83
Zurich,678.79
Geneva,676.89
Berne,660.77
Geneva,652.8
Chur,646.62
Berne,631.37
Geneva,600.44
Zurich,598.27
Basel,585.35
Basel,569.48
Berne,567.18
Basel,562.86
Basel,559.98
Schwyz,538.55
Berne,535.64
Zurich,529.32
Berne,527.84
Basel,515.11
Geneva,501.5
Berne,501.37
Berne,499.92
Berne,485.85
Geneva,484.7
Basel,453.47
Geneva,447.63
Geneva,442.68
Zurich,436.86
Basel,436.64
Basel,435.17
Lugano,381.08
Neuchatel,377.23
Geneva,373.45
Berne,365.08
Geneva,341.15
Berne,325.71
Lausanne,313.92
Lausanne,311.89
Laupen,297.45
Basel,281.22
Berne,265.5
Berne,264.34
Lugano,240.6
Berne,228.93
Lugano,228.49
Basel,42.51
