Offence,Cases,Offences_total,Attempts,Solved,Suspects_total,Legal_entities,Natural_persons,Male,Female,Gender_unknown,Under_10,Age_10_14,Age_15_17,Age_18_19,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_49,Age_50_59,Age_60_69,Age_70_plus,Age_unknown,Swiss,Foreign,Foreign_residents,Asylum_population,Other_foreigners,Year
Gesamttotal,27331.0,44228.0,39.0,42490.0,20554.0,5.0,20549.0,17883,2666,0,1,166,1400,1126,3066,3287,3144,2711,3581,1585,409,72,1,9007,11542,5604,994,4944,2025
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung",24141.0,32378.0,7.0,31672.0,18143.0,2.0,18141.0,15795,2346,0,0,157,1332,1012,2674,2835,2775,2386,3193,1385,338,53,1,8197,9944,5056,934,3954,2025
Konsum von Betäubungsmitteln,18268.0,19236.0,5.0,19224.0,14705.0,0.0,14705.0,12908,1797,0,0,136,1143,837,2219,2333,2286,1939,2492,1051,234,35,0,6709,7996,4226,745,3025,2025
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",154.0,162.0,1.0,160.0,158.0,0.0,158.0,138,20,0,0,0,2,6,7,16,26,27,43,26,3,2,0,127,31,27,2,2,2025
"lagern, versenden, befördern, einführen, ausführen oder durchführen, zum Eigenkonsum",1245.0,1257.0,1.0,1198.0,1133.0,0.0,1133.0,875,258,0,0,3,24,49,140,166,162,166,231,114,63,14,1,505,628,261,22,345,2025
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",11583.0,11723.0,0.0,11090.0,8829.0,2.0,8827.0,7735,1092,0,0,84,755,470,1226,1327,1321,1131,1591,722,177,22,1,3885,4942,2297,541,2104,2025
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung ",6769.0,11363.0,31.0,10343.0,6100.0,5.0,6095.0,5388,707,0,1,39,339,381,977,1010,914,767,1029,471,142,25,0,2465,3630,1535,266,1829,2025
davon Vergehen,5837.0,8932.0,29.0,7999.0,5086.0,3.0,5083.0,4495,588,0,1,36,327,348,802,836,762,592,850,388,118,23,0,2176,2907,1262,249,1396,2025
"anbauen, herstellen oder anders erzeugen",235.0,289.0,3.0,279.0,278.0,0.0,278.0,253,25,0,0,2,5,1,24,36,47,54,72,28,8,1,0,210,68,57,3,8,2025
"lagern, versenden, befördern, einführen, ausführen oder durchführen",975.0,1008.0,3.0,859.0,858.0,2.0,856.0,700,156,0,0,1,28,31,118,148,135,116,154,83,33,9,0,351,505,195,14,296,2025
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",2990.0,3361.0,23.0,3265.0,2900.0,1.0,2899.0,2591,308,0,0,28,214,227,482,481,434,333,440,198,52,10,0,1212,1687,704,151,832,2025
"besitzen, aufbewahren, erwerben, anders erlangen",3995.0,4179.0,0.0,3502.0,3316.0,0.0,3316.0,2978,338,0,1,14,196,233,569,545,497,366,573,234,72,16,0,1395,1921,804,175,942,2025
illegalen Betäubungsmittelhandel finanzieren oder Finanzierung vermitteln,17.0,19.0,0.0,19.0,20.0,0.0,20.0,13,7,0,0,0,2,0,8,1,1,1,6,0,1,0,0,11,9,9,0,0,2025
"öffentlich auffordern, öffentlich Gelegenheit zu Erwerb oder Konsum von Betäubungsmittel bekannt geben",11.0,12.0,0.0,12.0,12.0,0.0,12.0,12,0,0,0,0,0,2,4,1,2,2,1,0,0,0,0,1,11,4,2,5,2025
"Betäubungsmittel einer Person unter 18 Jahren ohne medizinische Indikation, anbieten, abgeben oder anders zugänglich machen",58.0,59.0,0.0,58.0,58.0,0.0,58.0,54,4,0,0,2,18,8,9,4,5,5,3,3,0,1,0,29,29,23,5,1,2025
übrige Vergehen Handel (Art. 20),5.0,5.0,0.0,5.0,5.0,0.0,5.0,4,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,2,3,x,x,x,2025
davon Verbrechen,1229.0,2431.0,2.0,2344.0,1383.0,2.0,1381.0,1231,150,0,0,3,23,59,240,233,218,212,253,112,26,2,0,480,901,376,30,495,2025
"anbauen, herstellen oder anders erzeugen",34.0,67.0,0.0,67.0,67.0,0.0,67.0,61,6,0,0,0,0,0,6,10,14,13,15,7,2,0,0,38,29,18,0,11,2025
"lagern, versenden, befördern, einführen, ausführen oder durchführen",229.0,269.0,0.0,260.0,248.0,0.0,248.0,210,38,0,0,0,3,4,33,56,40,41,47,20,4,0,0,56,192,56,5,131,2025
"veräussern, verordnen, andern verschaffen, in Verkehr bringen",969.0,1277.0,2.0,1221.0,1109.0,0.0,1109.0,998,111,0,0,2,18,53,199,175,167,167,216,90,20,2,0,398,711,322,25,364,2025
"besitzen, aufbewahren, erwerben, anders erlangen",725.0,791.0,0.0,769.0,842.0,2.0,840.0,750,90,0,0,3,13,33,147,142,134,132,151,66,19,0,0,285,555,203,11,341,2025
illegalen Betäubungsmittelhandel finanzieren oder Finanzierung vermitteln,13.0,15.0,0.0,15.0,15.0,0.0,15.0,13,2,0,0,0,2,1,0,2,2,5,2,1,0,0,0,5,10,6,0,4,2025
"öffentlich auffordern, öffentlich Gelegenheit zu Erwerb oder Konsum von Betäubungsmittel bekannt geben",7.0,7.0,0.0,7.0,7.0,0.0,7.0,7,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,1,6,2,0,4,2025
"in Ausbildungsstätten vorwiegend für Jugendliche gewerbsmässig Betäubungsmittel anbieten, abgeben oder auf andere Weise zugänglich machen",2.0,2.0,0.0,2.0,2.0,0.0,2.0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025
übrige Verbrechen Handel (Art. 20),2.0,3.0,0.0,3.0,2.0,0.0,2.0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025
Total: übrige Straftaten gegen das BetmG,458.0,487.0,1.0,475.0,409.0,1.0,408.0,367,41,0,0,3,25,47,76,67,42,38,71,28,10,1,0,185,223,77,34,112,2025
übrige Übertretungen,25.0,34.0,0.0,25.0,24.0,0.0,24.0,17,7,0,0,0,1,0,3,5,4,3,6,1,1,0,0,12,12,4,1,7,2025
übrige Vergehen,434.0,453.0,1.0,450.0,387.0,1.0,386.0,351,35,0,0,3,24,47,74,63,38,35,65,27,9,1,0,174,212,73,33,106,2025
X: Entfällt aus Datenschutzgründen (Totalwerte 1-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, Ci, diplomatisches Personal, internationale Funktionär/innen
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, legal anwesende Personen ohne ausweispflichtigen Status (Tourist/innen, Besucher/innen), im Meldeverfahren für Kurzerwerbstätigkeit (Staatsangehörige / Angestellte von Unternehmen EU/EFTA), illegal anwesende Personen ohne Asylverfahren, illegal anwesende Asylsuchende mit negativem Asylentscheid und Ausreisepflicht, Rückweisung an der Grenze, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
Stand der Datenbank: 13.02.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
© BFS 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
Gesamttotal,29040.0,48208.0,57.0,46417.0,21901.0,3.0,21898.0,19031,2867,0,0,211,1788,1314,3436,3479,3221,2659,3785,1568,363,73,1,9854,12044,5792,1183,5069,2024
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung",26065.0,35994.0,21.0,34875.0,19437.0,1.0,19436.0,16867,2569,0,0,195,1701,1179,3032,3028,2843,2361,3331,1396,311,58,1,9048,10388,5241,1100,4047,2024
Konsum von Betäubungsmitteln,20188.0,21221.0,14.0,21217.0,16206.0,0.0,16206.0,14123,2083,0,0,167,1505,983,2568,2582,2355,1964,2736,1081,230,35,0,7624,8582,4450,914,3218,2024
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",304.0,316.0,1.0,307.0,299.0,0.0,299.0,252,47,0,0,0,8,7,32,40,47,38,74,41,9,3,0,221,78,73,0,5,2024
"lagern, versenden, befördern, einführen, ausführen oder durchführen, zum Eigenkonsum",1559.0,1583.0,6.0,1493.0,1436.0,0.0,1436.0,1101,335,0,0,3,40,62,203,194,230,185,288,155,52,23,1,720,716,371,20,325,2024
