City,MDMA,amphetamine,cannabis,cocaine,cot,ketamine,methamphetamine
Altenrhein,12.72,50.54,78.98,743.47,971.07,3.09,8.27
Basel,19.85923076923077,30.12,58.314,515.7176923076923,556.67,18.830000000000002,27.62
Berne,21.474615384615387,44.885,65.95,470.22357142857146,,12.276666666666666,21.37076923076923
Chur,8.62,25.81,69.2,646.62,1020.66,6.13,2.92
Geneva,28.184615384615384,11.447857142857144,189.04333333333332,635.24,,33.04333333333333,9.733846153846155
Laupen,9.02,38.35,37.29,297.45,703.87,2.72,15.87
Lausanne,31.67,8.93,,312.905,,,3.065
Lugano,7.487500000000001,0.0,90.76,436.5375,820.9,9.86,0.4325
Luzern,19.72,65.54,75.36,948.65,874.33,9.96,6.5
Neuchatel,10.09,31.56,73.33,377.23,836.55,16.82,17.2
Schwyz,9.13,74.05,68.91,538.55,1106.92,8.56,7.41
Solothurn,17.69,42.99,24.34,762.68,734.06,6.79,12.45
St. Gallen Hofen,28.032,71.862,11.77,893.6720000000001,,,13.0875
Zurich,48.04571428571428,43.78285714285715,116.37833333333333,814.7950000000001,879.9,49.406666666666666,45.41153846153846
